Species,Growth_rate,Colony_fecundity,Colony_area,Polyps_per_area,Polyp_fecundity,Eggs_per_area,Colony_maximum_diameter,Corallite_width_minimum,Corallite_width_maximum,GrowthForm_CTD,Abund_CTD,MeanPCcover,family_molecules,family_morphology,larval
Alveopora marionensis,NA,NA,NA,NA,NA,NA,NA,2,3.4,submassive,rare,0.01,Acroporidae,Poritidae,NA
Alveopora minuta,NA,NA,NA,NA,NA,NA,10,0.9,1.3,NA,NA,NA,NA,NA,NA
Alveopora ocellata,NA,NA,NA,NA,NA,NA,NA,1.2,1.5,NA,NA,NA,NA,NA,NA
Alveopora spongiosa,NA,NA,NA,NA,NA,NA,150,0.7,1.5,columnar,uncommon,0.016,Acroporidae,Poritidae,NA
Alveopora tizardi,NA,NA,NA,NA,NA,NA,NA,1.4,1.5,NA,NA,NA,NA,NA,NA
Alveopora verrilliana,NA,NA,NA,NA,NA,NA,NA,1,2.1,NA,NA,NA,NA,NA,NA
Alveopora viridis,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,NA,NA,NA,NA,NA,NA
Anacropora forbesi,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,branching_closed,uncommon,0.307,Acroporidae,Acroporidae,NA
Anacropora matthai,NA,NA,NA,NA,NA,NA,NA,0.5,0.6,branching_closed,rare,0.068,Acroporidae,Acroporidae,NA
Anacropora pillai,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA
Anacropora puertogalerae,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,branching_closed,uncommon,0.023,Acroporidae,Acroporidae,spawner
Anacropora reticulata,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,NA,NA,NA,NA,NA,NA
Anacropora spinosa,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,NA,NA,NA,NA,NA,NA
Anacropora spumosa,NA,NA,NA,NA,NA,NA,NA,0.5,0.7,NA,NA,NA,NA,NA,NA
Anomastraea irregularis,NA,NA,NA,NA,NA,NA,NA,3.2,5.4,NA,NA,NA,NA,NA,NA
Astrangia poculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astreopora cucullata,NA,NA,NA,NA,NA,NA,NA,1.8,2.3,massive,rare,0.054,Acroporidae,Acroporidae,NA
Astreopora expansa,NA,NA,NA,NA,NA,NA,NA,2.1,2.3,NA,NA,NA,NA,NA,NA
Astreopora gracilis,NA,NA,NA,NA,NA,NA,NA,1.4,1.6,massive,uncommon,0.058,Acroporidae,Acroporidae,spawner
Astreopora incrustans,NA,NA,NA,NA,NA,NA,100,0.7,0.9,NA,NA,NA,NA,NA,NA
Astreopora listeri,NA,NA,NA,NA,NA,NA,NA,1.3,1.6,massive,common,0.047,Acroporidae,Acroporidae,spawner
Astreopora macrostoma,NA,NA,NA,NA,NA,NA,NA,2.3,2.5,NA,NA,NA,NA,NA,NA
Astreopora moretonensis,NA,NA,NA,NA,NA,NA,NA,2.1,2.5,laminar,rare,0.03,Acroporidae,Acroporidae,NA
Astreopora myriophthalma,7.75,NA,NA,NA,NA,NA,NA,2.1,2.3,massive,common,0.122,Acroporidae,Acroporidae,spawner
Astreopora ocellata,NA,NA,NA,NA,NA,NA,NA,1.1,2.5,massive,rare,0.079,Acroporidae,Acroporidae,NA
Astreopora randalli,NA,NA,NA,NA,NA,NA,NA,1.1,1.5,NA,NA,NA,NA,NA,NA
Astreopora scabra,NA,NA,NA,NA,NA,NA,NA,1.6,2.5,NA,NA,NA,NA,NA,NA
Astreopora suggesta,NA,NA,NA,NA,NA,NA,NA,1.1,1.6,NA,NA,NA,NA,NA,NA
Australogyra zelli,NA,NA,NA,NA,NA,NA,200,5,7.2,NA,NA,NA,NA,NA,NA
Parascolymia rowleyensis,NA,NA,NA,NA,NA,NA,NA,8.5,13.4,NA,NA,NA,NA,NA,NA
Balanophyllia europaea,1.1616666666666666,NA,NA,NA,NA,NA,2,1.4,2.2,NA,NA,NA,NA,NA,NA
Dipsastraea amicorum,NA,NA,NA,NA,NA,NA,NA,6,13.2,NA,NA,NA,NA,NA,NA
Dipsastraea laddi,NA,NA,NA,NA,NA,NA,NA,5.5,6.8,NA,NA,NA,NA,NA,NA
Blastomussa merleti,NA,NA,NA,NA,NA,NA,NA,3.8,6,NA,NA,NA,NA,NA,NA
Blastomussa wellsi,NA,NA,NA,NA,NA,NA,NA,10,18.9,NA,NA,NA,NA,NA,NA
Boninastrea boninensis,NA,NA,NA,NA,NA,NA,NA,5.1,6.5,NA,NA,NA,NA,NA,NA
Cantharellus doederleini,NA,NA,NA,NA,NA,NA,5,51.2,53.3,NA,NA,NA,NA,NA,NA
Cantharellus jebbi,NA,NA,NA,NA,NA,NA,20,NA,20,NA,NA,NA,NA,NA,NA
Cantharellus noumeae,NA,NA,NA,NA,NA,NA,20,NA,200,NA,NA,NA,NA,NA,NA
Catalaphyllia jardinei,NA,NA,NA,NA,NA,NA,100,12.3,21.3,NA,NA,NA,NA,NA,NA
Caulastraea connata,NA,NA,NA,NA,NA,NA,NA,17.5,27.5,NA,NA,NA,NA,NA,NA
Caulastraea curvata,NA,NA,NA,NA,NA,NA,100,7.8,13.9,NA,NA,0.01,NA,Faviidae,NA
Caulastraea echinulata,NA,NA,NA,NA,NA,NA,NA,9.4,13.8,NA,NA,NA,NA,NA,NA
Caulastraea furcata,NA,NA,NA,NA,NA,NA,500,7.2,12.8,NA,NA,NA,NA,NA,NA
Caulastraea tumida,NA,NA,NA,NA,NA,NA,100,15,25,NA,NA,0.01,NA,Faviidae,NA
Cladocora arbuscula,NA,NA,NA,NA,NA,NA,NA,2.4,2.9,NA,NA,NA,NA,NA,NA
Cladocora caespitosa,3.46,NA,NA,NA,NA,NA,50,2.6,4.5,NA,NA,NA,NA,NA,NA
Coeloseris mayeri,NA,NA,NA,NA,NA,NA,NA,8.1,11.9,massive,common,0.348,Agariciidae,Agariciidae,NA
Colpophyllia natans,8.639310344827587,NA,NA,NA,NA,NA,134.915,8.7,12.9,NA,NA,NA,NA,NA,NA
Coscinaraea columna,NA,NA,NA,NA,NA,NA,NA,3.5,6,massive,common,0.107,Coscinaraeidae,Siderastreidae,spawner
Coscinaraea crassa,NA,NA,NA,NA,NA,NA,NA,8.6,14.3,encrusting,rare,0.08,Coscinaraeidae,Siderastreidae,NA
Coscinaraea exesa,NA,NA,NA,NA,NA,NA,NA,2.6,6.1,columnar,common,0.159,Coscinaraeidae,Siderastreidae,NA
Coscinaraea marshae,NA,NA,NA,NA,NA,NA,NA,3,5.3,NA,NA,NA,NA,NA,NA
Coscinaraea mcneilli,NA,NA,NA,NA,NA,NA,NA,4.2,5.8,NA,NA,NA,NA,NA,NA
Coscinaraea monile,NA,NA,NA,NA,NA,NA,NA,NA,50,massive,common,0.05,Coscinaraeidae,Siderastreidae,NA
Cycloseris wellsi,NA,NA,NA,NA,NA,NA,NA,2,2.5,NA,NA,NA,NA,NA,NA
Ctenactis albitentaculata,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA
Ctenactis crassa,NA,NA,NA,NA,NA,NA,NA,NA,236,massive,common,0.018,Fungiidae,Fungiidae,spawner
Ctenactis echinata,NA,NA,NA,NA,NA,NA,NA,NA,284,massive,common,0.057,Fungiidae,Fungiidae,spawner
Ctenella chagius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynarina lacrymalis,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA
Cyphastrea agassizi,NA,NA,NA,NA,NA,NA,NA,1.4,2.2,massive,uncommon,0.015,Merulinidae,Faviidae,NA
Cyphastrea chalcidicum,NA,NA,NA,NA,NA,NA,100,1.6,2.8,massive,common,0.058,Merulinidae,Faviidae,spawner
Cyphastrea decadia,NA,NA,NA,NA,NA,NA,NA,2.2,2.8,NA,NA,NA,NA,NA,NA
Cyphastrea hexasepta,NA,NA,NA,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA
Cyphastrea japonica,NA,NA,NA,NA,NA,NA,NA,1.5,1.9,submassive,uncommon,0.03,Merulinidae,Faviidae,NA
Cyphastrea microphthalma,NA,NA,NA,NA,NA,NA,NA,1.6,2.7,massive,common,0.071,Merulinidae,Faviidae,spawner
Cyphastrea ocellina,3.255,NA,NA,NA,NA,NA,NA,1.9,2.5,NA,NA,NA,NA,NA,NA
Cyphastrea serailia,5.9,NA,NA,NA,NA,NA,NA,1.4,2.4,massive,common,0.14,Merulinidae,Faviidae,spawner
Dendrogyra cylindrus,19.125,NA,NA,NA,NA,NA,200,2.3,4.2,NA,NA,NA,NA,NA,NA
Dichocoenia stokesi,NA,NA,NA,NA,NA,NA,34.394999999999996,4.7,11.2,NA,NA,NA,NA,NA,NA
Diploastrea heliopora,2.4323928571428572,NA,NA,NA,NA,NA,633.3333333333334,7,9,massive,uncommon,0.248,Diploastraeidae,Faviidae,spawner
Pseudodiploria clivosa,6.4,NA,NA,NA,NA,NA,35.13333333333333,4.5,5.8,NA,NA,NA,NA,NA,NA
Diploria labyrinthiformis,4.086785714285714,NA,NA,NA,NA,NA,32.33,4.3,5.8,NA,NA,NA,NA,NA,NA
Pseudodiploria strigosa,5.0325,NA,NA,NA,NA,NA,69.85666666666667,5.1,10.1,NA,NA,NA,NA,NA,NA
Duncanopsammia axifuga,NA,NA,NA,NA,NA,NA,NA,6.7,10.5,NA,NA,NA,NA,NA,NA
Echinomorpha nishihirai,NA,NA,NA,NA,NA,NA,NA,NA,115.5,NA,NA,NA,NA,NA,NA
Echinophyllia aspera,NA,NA,NA,NA,NA,NA,NA,8.8,10.9,laminar,common,0.051,Lobophyllidae,Pectiniidae,spawner
Echinophyllia costata,NA,NA,NA,NA,NA,NA,80,3.8,6,NA,NA,NA,NA,NA,NA
Echinophyllia echinata,NA,NA,NA,NA,NA,NA,NA,12,12.9,laminar,uncommon,0.055,Lobophyllidae,Pectiniidae,NA
Echinophyllia echinoporoides,NA,NA,NA,NA,NA,NA,NA,2.5,5.7,encrusting,common,0.059,Lobophyllidae,Pectiniidae,NA
Echinophyllia orpheensis,NA,NA,NA,NA,NA,NA,45,10,10.1,NA,NA,NA,NA,NA,NA
Echinophyllia patula,NA,NA,NA,NA,NA,NA,NA,4.9,7,NA,NA,NA,NA,NA,NA
Echinophyllia pectinata,NA,NA,NA,NA,NA,NA,NA,7.2,14.5,NA,NA,NA,NA,NA,NA
Echinopora ashmorensis,NA,NA,NA,NA,NA,NA,200,4.4,5.1,NA,NA,NA,NA,NA,NA
Echinopora forskaliana,NA,NA,NA,NA,NA,NA,NA,4.3,5.8,NA,NA,NA,NA,NA,NA
Echinopora fruticulosa,NA,NA,NA,NA,NA,NA,200,3.7,4.8,NA,NA,NA,NA,NA,NA
Echinopora gemmacea,NA,NA,NA,NA,NA,NA,NA,3,4.2,laminar,common,0.218,Merulinidae,Faviidae,spawner
Echinopora hirsutissima,NA,NA,NA,NA,NA,NA,NA,3.7,4.2,submassive,uncommon,0.083,Merulinidae,Faviidae,NA
Echinopora horrida,NA,NA,NA,NA,NA,NA,500,2,2.4,encrusting_long_uprights,uncommon,0.11,Merulinidae,Faviidae,spawner
Echinopora irregularis,NA,NA,NA,NA,NA,NA,NA,1.9,4.2,NA,NA,NA,NA,NA,NA
Echinopora lamellosa,NA,NA,NA,NA,NA,NA,500,2.3,3.4,laminar,common,0.515,Merulinidae,Faviidae,spawner
Echinopora mammiformis,NA,NA,NA,NA,NA,NA,500,6.1,8.9,encrusting_long_uprights,common,0.362,Merulinidae,Faviidae,NA
Echinopora pacificus,NA,NA,NA,NA,NA,NA,NA,2.5,4.6,laminar,common,0.113,Merulinidae,Faviidae,spawner
Echinopora robusta,NA,NA,NA,NA,NA,NA,NA,4.2,8.6,NA,NA,NA,NA,NA,NA
Echinopora taylorae,NA,NA,NA,NA,NA,NA,NA,2.2,5,NA,NA,NA,NA,NA,NA
Echinopora tiranensis,NA,NA,NA,NA,NA,NA,NA,2.4,3.5,NA,NA,NA,NA,NA,NA
Erythrastrea flabellata,NA,NA,NA,NA,NA,NA,100,10,14,NA,NA,NA,NA,NA,NA
Euphyllia ancora,NA,NA,NA,NA,NA,NA,100,16,45,NA,NA,NA,NA,NA,NA
Euphyllia cristata,NA,NA,NA,NA,NA,NA,12,20,25,massive,common,0.01,Euphylliidae,Euphyllidae,NA
Euphyllia divisa,NA,NA,NA,NA,NA,NA,100,NA,22,NA,NA,NA,NA,NA,NA
Euphyllia glabrescens,NA,NA,NA,NA,NA,NA,NA,8,19,massive,common,0.007,Euphylliidae,Euphyllidae,brooder
Euphyllia paraancora,NA,NA,NA,NA,NA,NA,NA,29,30,massive,uncommon,0.05,Euphylliidae,Euphyllidae,spawner
Euphyllia paradivisa,NA,NA,NA,NA,NA,NA,NA,36,45,NA,NA,NA,NA,NA,NA
Euphyllia paraglabrescens,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA
Euphyllia yaeyamaensis,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA
Eusmilia fastigiata,NA,NA,NA,NA,NA,NA,129.95499999999998,18.1,20.9,NA,NA,NA,NA,NA,NA
Dipsastraea albida,NA,NA,NA,NA,NA,NA,NA,8.3,12.1,NA,NA,NA,NA,NA,NA
Dipsastraea danai,NA,NA,NA,NA,NA,NA,NA,6.8,9.2,NA,NA,NA,NA,NA,NA
Favia fragum,NA,NA,NA,NA,NA,NA,4.18,4.2,5.8,NA,NA,NA,NA,NA,NA
Dipsastraea helianthoides,NA,NA,NA,NA,NA,NA,NA,6.2,9,NA,NA,NA,NA,NA,NA
Dipsastraea lacuna,NA,NA,NA,NA,NA,NA,100,5.9,9.8,NA,NA,NA,NA,NA,NA
Dipsastraea laxa,NA,NA,NA,NA,NA,NA,NA,3.8,5.8,NA,NA,NA,NA,NA,NA
Mussismilia leptophylla,NA,NA,NA,NA,NA,NA,100,5,10.2,NA,NA,NA,NA,NA,NA
Dipsastraea lizardensis,NA,NA,NA,NA,NA,NA,100,10,16.7,NA,NA,NA,NA,NA,NA
Dipsastraea maritima,NA,NA,NA,NA,NA,NA,NA,13.8,18.8,NA,NA,NA,NA,NA,NA
Dipsastraea marshae,NA,NA,NA,NA,NA,NA,60,12.5,19.3,NA,NA,NA,NA,NA,NA
Dipsastraea matthaii,NA,NA,NA,NA,NA,NA,NA,8.8,13.8,NA,NA,NA,NA,NA,NA
Dipsastraea maxima,NA,NA,NA,NA,NA,NA,NA,23,29,NA,NA,NA,NA,NA,NA
Dipsastraea pallida,4.533333333333333,NA,NA,NA,NA,NA,NA,6.8,10.2,NA,NA,NA,NA,NA,NA
Dipsastraea rosaria,NA,NA,NA,NA,NA,NA,100,6.1,9.3,NA,NA,NA,NA,NA,NA
Dipsastraea rotumana,NA,NA,NA,NA,NA,NA,NA,8.8,14.2,NA,NA,NA,NA,NA,NA
Favites rotundata,NA,NA,NA,NA,NA,NA,NA,16.2,21.2,NA,NA,NA,NA,NA,NA
Dipsastraea speciosa,6.378571428571428,NA,NA,NA,NA,NA,75,7.5,9.9,NA,NA,NA,NA,NA,NA
Goniastrea stelligera,10,NA,NA,NA,NA,NA,NA,3.2,5.1,NA,NA,NA,NA,NA,NA
Dipsastraea truncata,NA,NA,NA,NA,NA,NA,NA,9,10.5,NA,NA,NA,NA,NA,NA
Dipsastraea veroni,NA,NA,NA,NA,NA,NA,NA,10,17.5,NA,NA,NA,NA,NA,NA
Dipsastraea vietnamensis,NA,NA,NA,NA,NA,NA,NA,4.8,14.1,NA,NA,NA,NA,NA,NA
Favites abdita,0.8,NA,NA,NA,NA,NA,100,7.5,15,massive,common,0.281,Merulinidae,Faviidae,spawner
Favites acuticollis,NA,NA,NA,NA,NA,NA,NA,6.7,9.3,NA,NA,NA,NA,NA,NA
Favites melicerum,NA,NA,NA,NA,NA,NA,NA,6.4,8.1,NA,NA,NA,NA,NA,NA
Favites chinensis,NA,NA,NA,NA,NA,NA,NA,7.5,12.5,massive,common,0.071,Merulinidae,Faviidae,spawner
Favites complanata,NA,NA,NA,NA,NA,NA,NA,8,18.8,massive,uncommon,0.048,Merulinidae,Faviidae,spawner
Favites flexuosa,NA,NA,NA,NA,NA,NA,NA,13.2,18.8,massive,uncommon,0.078,Merulinidae,Faviidae,spawner
Favites halicora,NA,NA,NA,NA,NA,NA,NA,10.8,16.8,massive,uncommon,0.133,Merulinidae,Faviidae,spawner
Favites micropentagonus,NA,NA,NA,NA,NA,NA,50,3.3,5.2,NA,NA,0.033,NA,Faviidae,NA
Favites paraflexuosus,NA,NA,NA,NA,NA,NA,60,10.5,16.2,NA,NA,NA,NA,NA,NA
Favites pentagona,NA,NA,NA,NA,NA,NA,100,3.8,8.5,submassive,uncommon,0.058,Merulinidae,Faviidae,spawner
Paragoniastrea russelli,NA,NA,NA,NA,NA,NA,NA,6,16,NA,NA,NA,NA,NA,NA
Favites spinosa,NA,NA,NA,NA,NA,NA,NA,5.2,8.2,NA,NA,NA,NA,NA,NA
Favites stylifera,NA,NA,NA,NA,NA,NA,NA,5,6.8,NA,NA,NA,NA,NA,NA
Favites vasta,NA,NA,NA,NA,NA,NA,NA,12.5,17.5,massive,uncommon,0.027,Merulinidae,Faviidae,NA
Lithophyllon concinna,NA,NA,NA,NA,NA,NA,16,NA,160,NA,NA,NA,NA,NA,NA
Cycloseris costulata,NA,NA,NA,NA,NA,NA,7.733333333333333,70,76,NA,NA,NA,NA,NA,NA
Cycloseris curvata,NA,NA,NA,NA,NA,NA,9,75,81,massive,rare,0.013,Fungiidae,Fungiidae,NA
Cycloseris cyclolites,NA,NA,NA,NA,NA,NA,16.03333333333333,33.3,35.7,NA,NA,NA,NA,NA,NA
Cycloseris distorta,NA,NA,NA,NA,NA,NA,4,NA,40,NA,NA,NA,NA,NA,NA
Cycloseris fragilis,NA,NA,NA,NA,NA,NA,7,NA,48,NA,NA,NA,NA,NA,NA
Heliofungia fralinae,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA
Fungia fungites,2,NA,NA,NA,NA,NA,28,NA,158,massive,common,0.077,Fungiidae,Fungiidae,spawner
Pleuractis granulosa,5.725658914728682,NA,NA,NA,NA,NA,13.5,NA,120,NA,NA,NA,NA,NA,NA
Cycloseris hexagonalis,NA,NA,NA,NA,NA,NA,9,28.1,29,NA,NA,NA,NA,NA,NA
Danafungia horrida,NA,NA,NA,NA,NA,NA,20,NA,204,NA,NA,NA,NA,NA,NA
Pleuractis moluccensis,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA
Pleuractis paumotensis,NA,NA,NA,NA,NA,NA,25,NA,235,NA,NA,NA,NA,NA,NA
Lithophyllon repanda,NA,NA,NA,NA,NA,NA,30,150,150,NA,NA,NA,NA,NA,NA
Lithophyllon scabra,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA
Danafungia scruposa,NA,NA,NA,NA,NA,NA,24,NA,111,massive,common,0.01,Fungiidae,Fungiidae,spawner
Lobactis scutaria,9.3,NA,NA,NA,NA,NA,17,NA,169,NA,NA,NA,NA,NA,NA
Pleuractis seychellensis,NA,NA,NA,NA,NA,NA,15,NA,88.8,NA,NA,NA,NA,NA,NA
Cycloseris sinensis,NA,NA,NA,NA,NA,NA,NA,53.3,54.8,NA,NA,NA,NA,NA,NA
Cycloseris somervillei,NA,NA,NA,NA,NA,NA,13,102.9,135.2,NA,NA,NA,NA,NA,NA
Lithophyllon spinifer,NA,NA,NA,NA,NA,NA,12.5,NA,118,NA,NA,NA,NA,NA,NA
Pleuractis taiwanensis,NA,NA,NA,NA,NA,NA,28,NA,193,NA,NA,NA,NA,NA,NA
Cycloseris tenuis,NA,NA,NA,NA,NA,NA,NA,42.9,46.7,NA,NA,NA,NA,NA,NA
Cycloseris vaughani,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA
Galaxea acrhelia,NA,NA,NA,NA,NA,NA,125,4.7,5.4,NA,NA,NA,NA,NA,NA
Galaxea astreata,NA,NA,NA,NA,NA,NA,166.66666666666666,3.4,3.7,submassive,common,0.035,Euphylliidae,Oculinidae,spawner
Galaxea cryptoramosa,NA,NA,NA,NA,NA,NA,30,4.2,4.6,NA,NA,NA,NA,NA,NA
Galaxea fascicularis,NA,NA,NA,NA,NA,NA,500,5.8,10.7,massive,common,0.382,Euphylliidae,Oculinidae,spawner
Galaxea horrescens,NA,NA,NA,NA,NA,NA,200,2.5,2.9,NA,NA,NA,NA,NA,NA
Galaxea longisepta,NA,NA,NA,NA,NA,NA,15,4.7,7.6,encrusting,rare,0.087,Euphylliidae,Oculinidae,NA
Galaxea paucisepta,NA,NA,NA,NA,NA,NA,NA,2.4,3.1,NA,NA,NA,NA,NA,NA
Gardineroseris planulata,9.9,NA,NA,NA,NA,NA,NA,1.4,5,massive,uncommon,0.064,Agariciidae,Agariciidae,spawner
Paragoniastrea australensis,3.7666666666666666,NA,NA,NA,NA,NA,NA,8.5,10,NA,NA,NA,NA,NA,NA
Goniastrea columella,NA,NA,NA,NA,NA,NA,NA,11,17.5,NA,NA,NA,NA,NA,NA
Paragoniastrea deformis,NA,NA,NA,NA,NA,NA,NA,6.2,8.8,NA,NA,NA,NA,NA,NA
Goniastrea edwardsi,9.8625,NA,NA,NA,NA,NA,100,2.5,5,massive,common,0.106,Merulinidae,Faviidae,spawner
Goniastrea minuta,NA,NA,NA,NA,NA,NA,NA,4.3,5.9,submassive,uncommon,0.027,Merulinidae,Faviidae,spawner
Coelastrea palauensis,NA,NA,NA,NA,NA,NA,20,10,18.8,NA,NA,NA,NA,NA,NA
Goniastrea pectinata,NA,NA,NA,NA,NA,NA,NA,5,15,submassive,common,0.093,Merulinidae,Faviidae,spawner
Paramontastraea peresi,NA,NA,NA,NA,NA,NA,NA,5,12.5,NA,NA,NA,NA,NA,NA
Goniastrea ramosa,NA,NA,NA,NA,NA,NA,30,2.5,7.4,NA,NA,NA,NA,NA,NA
Goniastrea thecata,NA,NA,NA,NA,NA,NA,100,7.7,8.4,NA,NA,NA,NA,NA,NA
Goniopora albiconus,NA,NA,NA,NA,NA,NA,100,1.7,3.2,NA,NA,NA,NA,NA,NA
Goniopora burgosi,NA,NA,NA,NA,NA,NA,NA,1.4,1.7,NA,NA,NA,NA,NA,NA
Goniopora cellulosa,NA,NA,NA,NA,NA,NA,NA,2.4,4.1,NA,NA,NA,NA,NA,NA
Goniopora ciliatus,NA,NA,NA,NA,NA,NA,500,2.9,3.8,NA,NA,NA,NA,NA,NA
Goniopora columna,NA,NA,NA,NA,NA,NA,NA,2.7,3.7,columnar,common,0.196,Poritidae,Poritidae,spawner
Goniopora djiboutiensis,NA,NA,NA,NA,NA,NA,NA,3.2,4.7,columnar,common,0.066,Poritidae,Poritidae,spawner
Goniopora eclipsensis,NA,NA,NA,NA,NA,NA,NA,2,3.1,NA,NA,NA,NA,NA,NA
Goniopora fruticosa,NA,NA,NA,NA,NA,NA,NA,1.7,3.7,encrusting,uncommon,0.047,Poritidae,Poritidae,NA
Goniopora lobata,NA,NA,NA,NA,NA,NA,NA,2.4,4.6,columnar,common,0.023,Poritidae,Poritidae,spawner
Goniopora minor,NA,NA,NA,NA,NA,NA,NA,1.5,2.5,encrusting,common,0.055,Poritidae,Poritidae,spawner
Goniopora norfolkensis,NA,NA,NA,NA,NA,NA,NA,1.5,2.4,encrusting,uncommon,0.035,Poritidae,Poritidae,spawner
Goniopora palmensis,NA,NA,NA,NA,NA,NA,NA,1.7,2.4,NA,NA,NA,NA,NA,NA
Goniopora pandoraensis,NA,NA,NA,NA,NA,NA,NA,2,2.7,NA,NA,NA,NA,NA,NA
Goniopora pearsoni,NA,NA,NA,NA,NA,NA,200,2.2,3.3,NA,NA,NA,NA,NA,NA
Goniopora pendulus,NA,NA,NA,NA,NA,NA,NA,4.1,5.6,NA,NA,NA,NA,NA,NA
Goniopora planulata,NA,NA,NA,NA,NA,NA,NA,1.6,3.1,NA,NA,NA,NA,NA,NA
Goniopora polyformis,NA,NA,NA,NA,NA,NA,NA,4.6,5.9,NA,NA,NA,NA,NA,NA
Goniopora savignyi,NA,NA,NA,NA,NA,NA,NA,1.7,2.2,NA,NA,NA,NA,NA,NA
Goniopora somaliensis,NA,NA,NA,NA,NA,NA,200,2.2,3.1,encrusting,uncommon,0.101,Poritidae,Poritidae,NA
Goniopora stokesi,NA,NA,NA,NA,NA,NA,10,2.7,4.7,NA,NA,NA,NA,NA,NA
Goniopora sultani,NA,NA,NA,NA,NA,NA,NA,7,7.8,NA,NA,NA,NA,NA,NA
Goniopora tenella,NA,NA,NA,NA,NA,NA,NA,2,2.9,NA,NA,NA,NA,NA,NA
Goniopora tenuidens,NA,NA,NA,NA,NA,NA,NA,NA,NA,massive,common,0.028,Poritidae,Poritidae,spawner
Gyrosmilia interrupta,NA,NA,NA,NA,NA,NA,50,6.3,8.1,NA,NA,NA,NA,NA,NA
Halomitra clavator,NA,NA,NA,NA,NA,NA,NA,4.2,5.3,NA,NA,NA,NA,NA,NA
Halomitra pileus,NA,NA,NA,NA,NA,NA,60,2.4,4.8,massive,common,0.034,Fungiidae,Fungiidae,spawner
Heliofungia actiniformis,5.76,NA,NA,NA,NA,NA,20,NA,142,NA,NA,NA,NA,NA,NA
Herpolitha limax,10,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA
Heterocyathus aequicostatus,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA
Heteropsammia cochlea,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA
Horastrea indica,NA,NA,NA,NA,NA,NA,NA,7.3,13.8,NA,NA,NA,NA,NA,NA
Hydnophora bonsai,NA,NA,NA,NA,NA,NA,NA,1.9,4.5,NA,NA,NA,NA,NA,NA
Hydnophora exesa,NA,NA,NA,NA,NA,NA,100,3,4.5,submassive,common,0.106,Merulinidae,Merulinidae,spawner
Hydnophora grandis,NA,NA,NA,NA,NA,NA,NA,3.3,4.7,NA,NA,NA,NA,NA,NA
Hydnophora microconos,8.9,NA,NA,NA,NA,NA,NA,3.6,7.2,massive,common,0.112,Merulinidae,Merulinidae,spawner
Hydnophora pilosa,NA,NA,NA,NA,NA,NA,NA,5,8,columnar,uncommon,0.152,Merulinidae,Merulinidae,spawner
Hydnophora rigida,71,NA,NA,NA,NA,NA,NA,4.7,6.7,branching_closed,common,0.138,Merulinidae,Merulinidae,spawner
Indophyllia macassarensis,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Isophyllia rigida,NA,NA,NA,NA,NA,NA,5.78,9.2,18.2,NA,NA,NA,NA,NA,NA
Isophyllia sinuosa,NA,NA,NA,NA,NA,NA,8.27,9.2,11.2,NA,NA,NA,NA,NA,NA
Leptastrea aequalis,NA,NA,NA,NA,NA,NA,20,2.5,2.8,encrusting,rare,0.027,Fungiidae,Faviidae,NA
Leptastrea bewickensis,NA,NA,NA,NA,NA,NA,100,1.8,4.2,encrusting,uncommon,0.47,Fungiidae,Faviidae,NA
Leptastrea bottae,NA,NA,NA,NA,NA,NA,NA,1.9,3.5,NA,NA,NA,NA,NA,NA
Leptastrea inaequalis,NA,NA,NA,NA,NA,NA,NA,1.8,4.1,massive,uncommon,0.046,Fungiidae,Faviidae,NA
Leptastrea pruinosa,NA,NA,NA,NA,NA,NA,NA,2,3.6,encrusting,common,0.063,Fungiidae,Faviidae,NA
Leptastrea purpurea,1.8,NA,NA,NA,NA,NA,100,1.8,10,encrusting,common,0.088,Fungiidae,Faviidae,spawner
